time,high,Currency,Coin,low,open,volumefrom,volumeto,close,conversionType,timestamp_date,timestamp_Year
1602806400,379.9,USD,ETH,361.57,377.82,318744.72,117467322.34,365.58,direct,2020-10-16,2020
1602892800,369.11,USD,ETH,366.27,365.72,322825.81,119010667.66,368.65,multiply,2020-10-17,2020
1602979200,379.59,USD,ETH,372.8,368.65,359498.81,136049864.63,378.44,multiply,2020-10-18,2020
1603065600,384.42,USD,ETH,373.04,378.44,257142.52,97474550.54,379.41,direct,2020-10-19,2020
1603152000,386.03,USD,ETH,367.91,379.39,859418.6,316902577.83,368.74,multiply,2020-10-20,2020
1603238400,401.78,USD,ETH,368.19,368.83,731278.91,283451951.4,391.46,direct,2020-10-21,2020
1603324800,421.25,USD,ETH,391.34,391.46,567385.97,232628091.79,414.5,direct,2020-10-22,2020
1603411200,419.47,USD,ETH,401.93,414.5,330934.12,136314943.28,409.57,direct,2020-10-23,2020
1603497600,418.85,USD,ETH,410.45,409.59,455908.25,188086893.4,412.55,multiply,2020-10-24,2020
1603584000,411.97,USD,ETH,406.1,412.55,415309.34,168766807.67,406.36,multiply,2020-10-25,2020
1603670400,411.39,USD,ETH,382.64,406.3,405412.22,160975600.73,393.11,direct,2020-10-26,2020
1603756800,410.25,USD,ETH,390.4,393.11,264061.94,105902450.86,403.74,direct,2020-10-27,2020
1603843200,409.35,USD,ETH,381.06,403.74,192392.15,75394842.45,388.77,direct,2020-10-28,2020
1603929600,393.98,USD,ETH,380.87,388.77,249693.18,97143305.34,387.54,direct,2020-10-29,2020
1604016000,392.05,USD,ETH,374.08,387.54,379042.31,144640027.44,382.76,direct,2020-10-30,2020
1604102400,392.57,USD,ETH,385.67,382.83,547916.74,211918605.81,386.77,multiply,2020-10-31,2020
1604188800,397.71,USD,ETH,385.6,386.77,850038.51,337253108.32,396.75,multiply,2020-11-01,2020
1604275200,404.39,USD,ETH,378.67,396.49,347549.1,135741837.5,383.61,direct,2020-11-02,2020
1604361600,398.14,USD,ETH,388.18,383.66,341553.65,132583691.44,388.18,multiply,2020-11-03,2020
1604448000,408.58,USD,ETH,377.14,388.17,254271.89,100082927.23,402.66,direct,2020-11-04,2020
