time,high,low,open,volumefrom,volumeto,close,conversionType,Datetime,Year
1478649600,741.23,707.13,710.9,70698.2,51548567.54,721.42,direct,2016-11-09,2016
1478736000,723.02,707.31,721.42,33327.52,23931322.76,714.57,direct,2016-11-10,2016
1478822400,719.79,711.67,714.57,25583.38,18386841.21,714.97,direct,2016-11-11,2016
1478908800,717.37,701.08,714.97,27601.81,19677656.63,704.27,direct,2016-11-12,2016
1478995200,705.61,685.01,704.27,36136.74,25249834.8,701.97,direct,2016-11-13,2016
1479081600,708.03,696.11,701.97,37752.31,26613445.03,704.56,direct,2016-11-14,2016
1479168000,716.93,697.91,704.56,41401.17,29562740.26,711.1,direct,2016-11-15,2016
1479254400,745.98,708.14,711.1,79569.14,58304902.39,740.28,direct,2016-11-16,2016
1479340800,751.91,730.08,740.28,62772.48,46942756.4,737.53,direct,2016-11-17,2016
1479427200,751.43,730.95,737.53,39708.18,29666065.54,746.96,direct,2016-11-18,2016
1479513600,755.34,737.44,746.96,25625.82,19276573.28,747.89,direct,2016-11-19,2016
1479600000,752.26,712.77,747.89,47423.27,34876785.19,728.51,direct,2016-11-20,2016
1479686400,744.33,726.55,728.51,32508.2,24010681.87,736.19,direct,2016-11-21,2016
1479772800,754.01,730.62,736.19,44441.44,33225195.21,749.34,direct,2016-11-22,2016
1479859200,750.93,731.34,749.34,37869.33,28258203.98,741.07,direct,2016-11-23,2016
1479945600,744.24,726.19,741.07,37239.41,27531777.52,735.31,direct,2016-11-24,2016
1480032000,741.25,728.97,735.31,28846.87,21299510.69,740.39,direct,2016-11-25,2016
1480118400,740.96,725.62,740.39,22578.17,16682481.58,734.14,direct,2016-11-26,2016
1480204800,738.29,727.11,734.14,21354.15,15735824.63,729.42,direct,2016-11-27,2016
1480291200,738.1,727.74,729.42,34117.31,25153838.93,733.3,direct,2016-11-28,2016
1480377600,737.04,727.78,733.3,32567.83,24030304.1,732.56,direct,2016-11-29,2016
1480464000,745.39,730.57,732.56,39277.45,29210351.41,742.49,direct,2016-11-30,2016
1480550400,755.48,741.08,742.49,54029.19,40690942.17,752.63,direct,2016-12-01,2016
1480636800,779.02,752.25,752.63,63217.85,48893613.64,770.94,direct,2016-12-02,2016
1480723200,772.32,755.81,770.94,38445.54,30234128.1,764.24,direct,2016-12-03,2016
1480809600,769.23,758.8,764.24,19163.97,14755120.48,766.39,direct,2016-12-04,2016
1480896000,769.18,746.01,766.39,51164.97,39082688.28,754.34,direct,2016-12-05,2016
1480982400,762.48,750.91,754.34,33430.33,25497771.6,758.21,direct,2016-12-06,2016
1481068800,769.02,754.27,758.21,34864.8,26755412.58,765.56,direct,2016-12-07,2016
1481155200,773.41,761.17,765.56,28780.25,22208497.22,768.49,direct,2016-12-08,2016
1481241600,773.48,765.03,768.49,24176.98,18722048.47,770.48,direct,2016-12-09,2016
1481328000,776.96,769.19,770.48,18017.98,14049110.07,774.0,direct,2016-12-10,2016
1481414400,774.16,763.0,774.0,17140.02,13269086.38,767.91,direct,2016-12-11,2016
1481500800,781.26,767.86,767.91,28759.72,22442991.37,778.47,direct,2016-12-12,2016
1481587200,790.33,767.77,778.47,33108.65,25894856.06,778.74,direct,2016-12-13,2016
1481673600,780.77,771.01,778.74,24782.47,19326375.41,776.5,direct,2016-12-14,2016
1481760000,780.27,773.12,776.5,26224.24,20452116.66,775.21,direct,2016-12-15,2016
1481846400,783.94,773.31,775.21,27607.57,21650384.64,782.05,direct,2016-12-16,2016
1481932800,791.57,779.36,782.05,23581.31,18648778.51,787.17,direct,2016-12-17,2016
1482019200,791.26,783.8,787.17,14532.68,11525747.48,789.01,direct,2016-12-18,2016
1482105600,793.73,786.31,789.01,25460.54,20238681.94,789.79,direct,2016-12-19,2016
1482192000,800.02,787.12,789.79,34480.19,27406319.09,799.1,direct,2016-12-20,2016
1482278400,833.13,795.98,799.1,65293.55,53411082.07,829.21,direct,2016-12-21,2016
1482364800,874.68,828.87,829.21,70557.59,60511618.45,860.15,direct,2016-12-22,2016
1482451200,920.26,858.04,860.15,102224.08,91802931.23,917.17,direct,2016-12-23,2016
1482537600,920.49,880.79,917.17,46030.07,41576781.41,891.07,direct,2016-12-24,2016
1482624000,895.24,851.42,891.07,42483.29,37173377.51,891.07,direct,2016-12-25,2016
1482710400,909.32,885.88,891.07,38787.58,35002753.4,898.38,direct,2016-12-26,2016
1482796800,937.91,893.38,898.38,49691.61,45966615.06,925.78,direct,2016-12-27,2016
1482883200,974.51,925.49,925.78,77285.8,73811803.99,972.17,direct,2016-12-28,2016
1482969600,982.57,949.23,972.17,61124.62,59226667.89,971.08,direct,2016-12-29,2016
1483056000,971.59,927.4,971.08,70839.81,67449149.3,959.04,direct,2016-12-30,2016
1483142400,965.47,942.4,959.04,27559.31,26379401.89,963.38,direct,2016-12-31,2016
1483228800,1001.61,956.1,963.38,41148.52,40570922.99,995.44,direct,2017-01-01,2017
1483315200,1031.68,990.2,995.44,64951.63,66038073.34,1017.05,direct,2017-01-02,2017
1483401600,1035.47,1006.53,1017.05,54788.01,56085870.7,1033.3,direct,2017-01-03,2017
1483488000,1148.54,1022.32,1033.3,156272.17,170584623.04,1135.41,direct,2017-01-04,2017
1483574400,1150.63,874.53,1135.41,240007.84,244839289.77,989.35,direct,2017-01-05,2017
1483660800,1027.42,852.55,989.35,194290.96,179160668.84,886.16,direct,2017-01-06,2017
